company,url,flag,industry,size
Downton Travel Limited,https://www.downtontravelltd.co.uk,,Other passenger land transport,Micro (turnover ≤£632k)
Abbey Travel Coach Hire Limited,https://www.abbeytravel.com,,Other passenger land transport,Micro (turnover ≤£632k)
Garden of England Classics Ltd,https://www.gardenofenglandclassics.co.uk,,Other passenger land transport,Micro (turnover ≤£632k)
KPT Relief Services Limited,https://www.returnloads.net/,,Freight transport by road,Micro (turnover ≤£632k)
VIP House Movers Ltd,https://viphousemovers.com,,Removal services,Micro (turnover ≤£632k)
Carroll Distribution Ltd,https://carrolldist.com,,Removal services,Micro (turnover ≤£632k)
Oceanair (International Removals) Limited,https://www.oceanairinternational.com,,Removal services,Micro (turnover ≤£632k)
Oneocean Limited,https://www.oneocean.com,,Sea and coastal passenger water transport,Micro (turnover ≤£632k)
Tech-Avia Ltd,https://www.tech-avia.online,,Freight air transport,Micro (turnover ≤£632k)
Hannah Stodel Racing Limited,https://www.hannahstodelracing.com,,Service activities incidental to water transportation,Micro (turnover ≤£632k)
Sargent Brothers (Thames) Limited,http://www.sargentbrothers.co.uk,,Service activities incidental to water transportation,Micro (turnover ≤£632k)
Breakdown Recovery Ltd,https://breakdownltd.co.uk/,,Other transportation support activities,Micro (turnover ≤£632k)
JHS Projects & Services Ltd,https://jhspedals.info,,Postal activities under universal service obligation,Micro (turnover ≤£632k)
Shirley (WM) Services Ltd,https://www.wmshirley.com,,Postal activities under universal service obligation,Micro (turnover ≤£632k)
The Old Bank Hotel Limited,https://www.oldbankhotel.co.uk,,Hotels and similar accommodation,Micro (turnover ≤£632k)
Swallowfields Retreat Ltd,https://swallowfieldsretreat.co.uk,,"Recreational vehicle parks, trailer parks and camping grounds",Micro (turnover ≤£632k)
Sika Ents Ltd,https://gbr.sika.com,,Event catering activities,Micro (turnover ≤£632k)
The Venue Crossgates Limited,https://www.thevenuebusiness.com,,Licensed clubs,Micro (turnover ≤£632k)
Brilliant Online Ltd,https://brilliant.ltd.uk,,Book publishing,Micro (turnover ≤£632k)
Aqua Fluency Ltd,https://www.aquafluency.com,,Publishing of  consumer and business journals and periodicals,Micro (turnover ≤£632k)
Eddison Pearson Ltd,https://www.eddisonpearson.com,,Other publishing activities,Micro (turnover ≤£632k)
Rallymaps Ltd,https://www.rallymaps.co.uk,,Other publishing activities,Micro (turnover ≤£632k)
Oh La Vache Limited,https://ohlavache.ch/pages/contact-us,,Other software publishing,Micro (turnover ≤£632k)
Pigeon Productions Limited,https://openstorytellers.org.uk/pigeon-productions/,,Television programme production activities,Micro (turnover ≤£632k)
